date,epi_year,epi_week,country_code,country_name,new_cases,cumulative_cases,new_deaths,cfr_percent,au_region
2024-01-07,2024,1,ZWE,Zimbabwe,152,152,4,2.63,Southern
2024-01-07,2024,1,ZMB,Zambia,64,64,1,1.56,Southern
2024-01-07,2024,1,MOZ,Mozambique,238,238,6,2.52,Southern
2024-01-07,2024,1,MWI,Malawi,171,171,3,1.75,Southern
2024-01-07,2024,1,TZA,Tanzania,124,124,2,1.61,East
2024-01-07,2024,1,KEN,Kenya,166,166,4,2.41,East
2024-01-07,2024,1,UGA,Uganda,201,201,5,2.49,East
2024-01-07,2024,1,ETH,Ethiopia,102,102,3,2.94,East
2024-01-07,2024,1,SOM,Somalia,285,285,9,3.16,East
2024-01-14,2024,2,ZWE,Zimbabwe,185,337,3,1.62,Southern
2024-01-14,2024,2,ZMB,Zambia,72,136,1,1.39,Southern
2024-01-14,2024,2,MOZ,Mozambique,110,348,2,1.82,Southern
2024-01-14,2024,2,MWI,Malawi,295,466,4,1.36,Southern
2024-01-14,2024,2,TZA,Tanzania,277,401,7,2.53,East
2024-01-14,2024,2,KEN,Kenya,226,392,3,1.33,East
2024-01-14,2024,2,UGA,Uganda,245,446,5,2.04,East
2024-01-14,2024,2,ETH,Ethiopia,247,349,4,1.62,East
2024-01-14,2024,2,SOM,Somalia,247,532,4,1.62,East
2024-01-21,2024,3,ZWE,Zimbabwe,111,448,3,2.7,Southern
2024-01-21,2024,3,ZMB,Zambia,319,455,5,1.57,Southern
2024-01-21,2024,3,MOZ,Mozambique,107,455,3,2.8,Southern
2024-01-21,2024,3,MWI,Malawi,130,596,2,1.54,Southern
2024-01-21,2024,3,TZA,Tanzania,193,594,6,3.11,East
2024-01-21,2024,3,KEN,Kenya,67,459,2,2.99,East
2024-01-21,2024,3,UGA,Uganda,62,508,0,0.0,East
2024-01-21,2024,3,ETH,Ethiopia,191,540,5,2.62,East
2024-01-21,2024,3,SOM,Somalia,171,703,4,2.34,East
2024-01-28,2024,4,ZWE,Zimbabwe,244,692,6,2.46,Southern
2024-01-28,2024,4,ZMB,Zambia,247,702,4,1.62,Southern
2024-01-28,2024,4,MOZ,Mozambique,143,598,2,1.4,Southern
2024-01-28,2024,4,MWI,Malawi,169,765,5,2.96,Southern
2024-01-28,2024,4,TZA,Tanzania,202,796,3,1.49,East
2024-01-28,2024,4,KEN,Kenya,58,517,1,1.72,East
2024-01-28,2024,4,UGA,Uganda,265,773,8,3.02,East
2024-01-28,2024,4,ETH,Ethiopia,102,642,3,2.94,East
2024-01-28,2024,4,SOM,Somalia,264,967,8,3.03,East
2024-02-04,2024,5,ZWE,Zimbabwe,164,856,5,3.05,Southern
2024-02-04,2024,5,ZMB,Zambia,283,985,7,2.47,Southern
2024-02-04,2024,5,MOZ,Mozambique,339,937,11,3.24,Southern
2024-02-04,2024,5,MWI,Malawi,298,1063,6,2.01,Southern
2024-02-04,2024,5,TZA,Tanzania,149,945,3,2.01,East
2024-02-04,2024,5,KEN,Kenya,83,600,1,1.2,East
2024-02-04,2024,5,UGA,Uganda,270,1043,6,2.22,East
2024-02-04,2024,5,ETH,Ethiopia,102,744,2,1.96,East
2024-02-04,2024,5,SOM,Somalia,107,1074,1,0.93,East
2024-02-11,2024,6,ZWE,Zimbabwe,140,996,3,2.14,Southern
2024-02-11,2024,6,ZMB,Zambia,208,1193,3,1.44,Southern
2024-02-11,2024,6,MOZ,Mozambique,310,1247,4,1.29,Southern
2024-02-11,2024,6,MWI,Malawi,341,1404,9,2.64,Southern
2024-02-11,2024,6,TZA,Tanzania,248,1193,7,2.82,East
2024-02-11,2024,6,KEN,Kenya,201,801,3,1.49,East
2024-02-11,2024,6,UGA,Uganda,327,1370,9,2.75,East
2024-02-11,2024,6,ETH,Ethiopia,90,834,2,2.22,East
2024-02-11,2024,6,SOM,Somalia,141,1215,3,2.13,East
2024-02-18,2024,7,ZWE,Zimbabwe,98,1094,1,1.02,Southern
2024-02-18,2024,7,ZMB,Zambia,239,1432,6,2.51,Southern
2024-02-18,2024,7,MOZ,Mozambique,103,1350,3,2.91,Southern
2024-02-18,2024,7,MWI,Malawi,183,1587,3,1.64,Southern
2024-02-18,2024,7,TZA,Tanzania,100,1293,2,2.0,East
2024-02-18,2024,7,KEN,Kenya,179,980,6,3.35,East
2024-02-18,2024,7,UGA,Uganda,215,1585,6,2.79,East
2024-02-18,2024,7,ETH,Ethiopia,320,1154,6,1.88,East
2024-02-18,2024,7,SOM,Somalia,228,1443,5,2.19,East
2024-02-25,2024,8,ZWE,Zimbabwe,227,1321,6,2.64,Southern
2024-02-25,2024,8,ZMB,Zambia,170,1602,2,1.18,Southern
2024-02-25,2024,8,MOZ,Mozambique,311,1661,5,1.61,Southern
2024-02-25,2024,8,MWI,Malawi,177,1764,4,2.26,Southern
2024-02-25,2024,8,TZA,Tanzania,123,1416,3,2.44,East
2024-02-25,2024,8,KEN,Kenya,221,1201,7,3.17,East
2024-02-25,2024,8,UGA,Uganda,244,1829,6,2.46,East
2024-02-25,2024,8,ETH,Ethiopia,235,1389,7,2.98,East
2024-02-25,2024,8,SOM,Somalia,104,1547,3,2.88,East
2024-03-03,2024,9,ZWE,Zimbabwe,149,1470,3,2.01,Southern
2024-03-03,2024,9,ZMB,Zambia,168,1770,5,2.98,Southern
2024-03-03,2024,9,MOZ,Mozambique,273,1934,8,2.93,Southern
2024-03-03,2024,9,MWI,Malawi,291,2055,4,1.37,Southern
2024-03-03,2024,9,TZA,Tanzania,96,1512,2,2.08,East
2024-03-03,2024,9,KEN,Kenya,115,1316,2,1.74,East
2024-03-03,2024,9,UGA,Uganda,298,2127,7,2.35,East
2024-03-03,2024,9,ETH,Ethiopia,372,1761,6,1.61,East
2024-03-03,2024,9,SOM,Somalia,331,1878,7,2.11,East
2024-03-10,2024,10,ZWE,Zimbabwe,346,1816,7,2.02,Southern
2024-03-10,2024,10,ZMB,Zambia,96,1866,2,2.08,Southern
2024-03-10,2024,10,MOZ,Mozambique,208,2142,4,1.92,Southern
2024-03-10,2024,10,MWI,Malawi,65,2120,0,0.0,Southern
2024-03-10,2024,10,TZA,Tanzania,315,1827,8,2.54,East
2024-03-10,2024,10,KEN,Kenya,140,1456,2,1.43,East
2024-03-10,2024,10,UGA,Uganda,126,2253,2,1.59,East
2024-03-10,2024,10,ETH,Ethiopia,254,2015,8,3.15,East
2024-03-10,2024,10,SOM,Somalia,211,2089,4,1.9,East
2024-03-17,2024,11,ZWE,Zimbabwe,339,2155,9,2.65,Southern
2024-03-17,2024,11,ZMB,Zambia,207,2073,3,1.45,Southern
2024-03-17,2024,11,MOZ,Mozambique,300,2442,10,3.33,Southern
2024-03-17,2024,11,MWI,Malawi,112,2232,2,1.79,Southern
2024-03-17,2024,11,TZA,Tanzania,207,2034,3,1.45,East
2024-03-17,2024,11,KEN,Kenya,298,1754,4,1.34,East
2024-03-17,2024,11,UGA,Uganda,207,2460,7,3.38,East
2024-03-17,2024,11,ETH,Ethiopia,344,2359,5,1.45,East
2024-03-17,2024,11,SOM,Somalia,355,2444,7,1.97,East
2024-03-24,2024,12,ZWE,Zimbabwe,229,2384,4,1.75,Southern
2024-03-24,2024,12,ZMB,Zambia,231,2304,5,2.16,Southern
2024-03-24,2024,12,MOZ,Mozambique,344,2786,11,3.2,Southern
2024-03-24,2024,12,MWI,Malawi,269,2501,7,2.6,Southern
2024-03-24,2024,12,TZA,Tanzania,299,2333,9,3.01,East
2024-03-24,2024,12,KEN,Kenya,222,1976,4,1.8,East
2024-03-24,2024,12,UGA,Uganda,112,2572,2,1.79,East
2024-03-24,2024,12,ETH,Ethiopia,213,2572,7,3.29,East
2024-03-24,2024,12,SOM,Somalia,339,2783,8,2.36,East
2024-03-31,2024,13,ZWE,Zimbabwe,375,2759,11,2.93,Southern
2024-03-31,2024,13,ZMB,Zambia,324,2628,6,1.85,Southern
2024-03-31,2024,13,MOZ,Mozambique,154,2940,4,2.6,Southern
2024-03-31,2024,13,MWI,Malawi,67,2568,1,1.49,Southern
2024-03-31,2024,13,TZA,Tanzania,306,2639,5,1.63,East
2024-03-31,2024,13,KEN,Kenya,180,2156,4,2.22,East
2024-03-31,2024,13,UGA,Uganda,254,2826,5,1.97,East
2024-03-31,2024,13,ETH,Ethiopia,321,2893,5,1.56,East
2024-03-31,2024,13,SOM,Somalia,272,3055,6,2.21,East
2024-04-07,2024,14,ZWE,Zimbabwe,114,2873,3,2.63,Southern
2024-04-07,2024,14,ZMB,Zambia,231,2859,6,2.6,Southern
2024-04-07,2024,14,MOZ,Mozambique,304,3244,5,1.64,Southern
2024-04-07,2024,14,MWI,Malawi,260,2828,6,2.31,Southern
2024-04-07,2024,14,TZA,Tanzania,118,2757,2,1.69,East
2024-04-07,2024,14,KEN,Kenya,250,2406,7,2.8,East
2024-04-07,2024,14,UGA,Uganda,387,3213,9,2.33,East
2024-04-07,2024,14,ETH,Ethiopia,210,3103,4,1.9,East
2024-04-07,2024,14,SOM,Somalia,126,3181,4,3.17,East
2024-04-14,2024,15,ZWE,Zimbabwe,319,3192,10,3.13,Southern
2024-04-14,2024,15,ZMB,Zambia,384,3243,8,2.08,Southern
2024-04-14,2024,15,MOZ,Mozambique,192,3436,5,2.6,Southern
2024-04-14,2024,15,MWI,Malawi,333,3161,10,3.0,Southern
2024-04-14,2024,15,TZA,Tanzania,260,3017,6,2.31,East
2024-04-14,2024,15,KEN,Kenya,272,2678,7,2.57,East
2024-04-14,2024,15,UGA,Uganda,160,3373,5,3.12,East
2024-04-14,2024,15,ETH,Ethiopia,276,3379,9,3.26,East
2024-04-14,2024,15,SOM,Somalia,172,3353,4,2.33,East
2024-04-21,2024,16,ZWE,Zimbabwe,207,3399,3,1.45,Southern
2024-04-21,2024,16,ZMB,Zambia,191,3434,6,3.14,Southern
2024-04-21,2024,16,MOZ,Mozambique,251,3687,4,1.59,Southern
2024-04-21,2024,16,MWI,Malawi,169,3330,4,2.37,Southern
2024-04-21,2024,16,TZA,Tanzania,273,3290,7,2.56,East
2024-04-21,2024,16,KEN,Kenya,281,2959,5,1.78,East
2024-04-21,2024,16,UGA,Uganda,151,3524,2,1.32,East
2024-04-21,2024,16,ETH,Ethiopia,90,3469,1,1.11,East
2024-04-21,2024,16,SOM,Somalia,383,3736,10,2.61,East
2024-04-28,2024,17,ZWE,Zimbabwe,235,3634,6,2.55,Southern
2024-04-28,2024,17,ZMB,Zambia,226,3660,5,2.21,Southern
2024-04-28,2024,17,MOZ,Mozambique,323,4010,8,2.48,Southern
2024-04-28,2024,17,MWI,Malawi,336,3666,6,1.79,Southern
2024-04-28,2024,17,TZA,Tanzania,367,3657,9,2.45,East
2024-04-28,2024,17,KEN,Kenya,357,3316,8,2.24,East
2024-04-28,2024,17,UGA,Uganda,295,3819,9,3.05,East
2024-04-28,2024,17,ETH,Ethiopia,97,3566,2,2.06,East
2024-04-28,2024,17,SOM,Somalia,101,3837,2,1.98,East
2024-05-05,2024,18,ZWE,Zimbabwe,202,3836,5,2.48,Southern
2024-05-05,2024,18,ZMB,Zambia,311,3971,6,1.93,Southern
2024-05-05,2024,18,MOZ,Mozambique,122,4132,2,1.64,Southern
2024-05-05,2024,18,MWI,Malawi,106,3772,3,2.83,Southern
2024-05-05,2024,18,TZA,Tanzania,83,3740,2,2.41,East
2024-05-05,2024,18,KEN,Kenya,261,3577,8,3.07,East
2024-05-05,2024,18,UGA,Uganda,210,4029,6,2.86,East
2024-05-05,2024,18,ETH,Ethiopia,218,3784,3,1.38,East
2024-05-05,2024,18,SOM,Somalia,92,3929,1,1.09,East
2024-05-12,2024,19,ZWE,Zimbabwe,118,3954,4,3.39,Southern
2024-05-12,2024,19,ZMB,Zambia,184,4155,6,3.26,Southern
2024-05-12,2024,19,MOZ,Mozambique,205,4337,4,1.95,Southern
2024-05-12,2024,19,MWI,Malawi,326,4098,6,1.84,Southern
2024-05-12,2024,19,TZA,Tanzania,261,4001,5,1.92,East
2024-05-12,2024,19,KEN,Kenya,220,3797,4,1.82,East
2024-05-12,2024,19,UGA,Uganda,352,4381,11,3.12,East
2024-05-12,2024,19,ETH,Ethiopia,133,3917,4,3.01,East
2024-05-12,2024,19,SOM,Somalia,278,4207,4,1.44,East
2024-05-19,2024,20,ZWE,Zimbabwe,99,4053,2,2.02,Southern
2024-05-19,2024,20,ZMB,Zambia,244,4399,4,1.64,Southern
2024-05-19,2024,20,MOZ,Mozambique,249,4586,5,2.01,Southern
2024-05-19,2024,20,MWI,Malawi,326,4424,9,2.76,Southern
2024-05-19,2024,20,TZA,Tanzania,257,4258,4,1.56,East
2024-05-19,2024,20,KEN,Kenya,361,4158,8,2.22,East
2024-05-19,2024,20,UGA,Uganda,330,4711,6,1.82,East
2024-05-19,2024,20,ETH,Ethiopia,91,4008,2,2.2,East
2024-05-19,2024,20,SOM,Somalia,247,4454,6,2.43,East
2024-05-26,2024,21,ZWE,Zimbabwe,196,4249,4,2.04,Southern
2024-05-26,2024,21,ZMB,Zambia,127,4526,3,2.36,Southern
2024-05-26,2024,21,MOZ,Mozambique,124,4710,3,2.42,Southern
2024-05-26,2024,21,MWI,Malawi,344,4768,10,2.91,Southern
2024-05-26,2024,21,TZA,Tanzania,303,4561,9,2.97,East
2024-05-26,2024,21,KEN,Kenya,230,4388,5,2.17,East
2024-05-26,2024,21,UGA,Uganda,137,4848,3,2.19,East
2024-05-26,2024,21,ETH,Ethiopia,287,4295,4,1.39,East
2024-05-26,2024,21,SOM,Somalia,242,4696,4,1.65,East
2024-06-02,2024,22,ZWE,Zimbabwe,419,4668,8,1.91,Southern
2024-06-02,2024,22,ZMB,Zambia,125,4651,4,3.2,Southern
2024-06-02,2024,22,MOZ,Mozambique,172,4882,2,1.16,Southern
2024-06-02,2024,22,MWI,Malawi,139,4907,2,1.44,Southern
2024-06-02,2024,22,TZA,Tanzania,332,4893,5,1.51,East
2024-06-02,2024,22,KEN,Kenya,320,4708,10,3.12,East
2024-06-02,2024,22,UGA,Uganda,127,4975,2,1.57,East
2024-06-02,2024,22,ETH,Ethiopia,63,4358,1,1.59,East
2024-06-02,2024,22,SOM,Somalia,64,4760,1,1.56,East
2024-06-09,2024,23,ZWE,Zimbabwe,282,4950,6,2.13,Southern
2024-06-09,2024,23,ZMB,Zambia,168,4819,4,2.38,Southern
2024-06-09,2024,23,MOZ,Mozambique,172,5054,3,1.74,Southern
2024-06-09,2024,23,MWI,Malawi,185,5092,4,2.16,Southern
2024-06-09,2024,23,TZA,Tanzania,235,5128,3,1.28,East
2024-06-09,2024,23,KEN,Kenya,192,4900,3,1.56,East
2024-06-09,2024,23,UGA,Uganda,160,5135,4,2.5,East
2024-06-09,2024,23,ETH,Ethiopia,158,4516,2,1.27,East
2024-06-09,2024,23,SOM,Somalia,189,4949,3,1.59,East
2024-06-16,2024,24,ZWE,Zimbabwe,292,5242,8,2.74,Southern
2024-06-16,2024,24,ZMB,Zambia,325,5144,5,1.54,Southern
2024-06-16,2024,24,MOZ,Mozambique,283,5337,5,1.77,Southern
2024-06-16,2024,24,MWI,Malawi,91,5183,1,1.1,Southern
2024-06-16,2024,24,TZA,Tanzania,184,5312,5,2.72,East
2024-06-16,2024,24,KEN,Kenya,310,5210,10,3.23,East
2024-06-16,2024,24,UGA,Uganda,196,5331,6,3.06,East
2024-06-16,2024,24,ETH,Ethiopia,309,4825,8,2.59,East
2024-06-16,2024,24,SOM,Somalia,130,5079,3,2.31,East
2024-06-23,2024,25,ZWE,Zimbabwe,475,5717,7,1.47,Southern
2024-06-23,2024,25,ZMB,Zambia,217,5361,4,1.84,Southern
2024-06-23,2024,25,MOZ,Mozambique,446,5783,7,1.57,Southern
2024-06-23,2024,25,MWI,Malawi,83,5266,1,1.2,Southern
2024-06-23,2024,25,TZA,Tanzania,126,5438,2,1.59,East
2024-06-23,2024,25,KEN,Kenya,153,5363,4,2.61,East
2024-06-23,2024,25,UGA,Uganda,314,5645,5,1.59,East
2024-06-23,2024,25,ETH,Ethiopia,206,5031,3,1.46,East
2024-06-23,2024,25,SOM,Somalia,241,5320,7,2.9,East
2024-06-30,2024,26,ZWE,Zimbabwe,231,5948,4,1.73,Southern
2024-06-30,2024,26,ZMB,Zambia,280,5641,7,2.5,Southern
2024-06-30,2024,26,MOZ,Mozambique,464,6247,12,2.59,Southern
2024-06-30,2024,26,MWI,Malawi,122,5388,3,2.46,Southern
2024-06-30,2024,26,TZA,Tanzania,237,5675,5,2.11,East
2024-06-30,2024,26,KEN,Kenya,309,5672,10,3.24,East
2024-06-30,2024,26,UGA,Uganda,150,5795,4,2.67,East
2024-06-30,2024,26,ETH,Ethiopia,122,5153,3,2.46,East
2024-06-30,2024,26,SOM,Somalia,67,5387,1,1.49,East
2024-07-07,2024,27,ZWE,Zimbabwe,443,6391,15,3.39,Southern
2024-07-07,2024,27,ZMB,Zambia,268,5909,7,2.61,Southern
2024-07-07,2024,27,MOZ,Mozambique,401,6648,12,2.99,Southern
2024-07-07,2024,27,MWI,Malawi,188,5576,4,2.13,Southern
2024-07-07,2024,27,TZA,Tanzania,172,5847,3,1.74,East
2024-07-07,2024,27,KEN,Kenya,237,5909,6,2.53,East
2024-07-07,2024,27,UGA,Uganda,149,5944,4,2.68,East
2024-07-07,2024,27,ETH,Ethiopia,113,5266,3,2.65,East
2024-07-07,2024,27,SOM,Somalia,122,5509,2,1.64,East
2024-07-14,2024,28,ZWE,Zimbabwe,112,6503,1,0.89,Southern
2024-07-14,2024,28,ZMB,Zambia,138,6047,3,2.17,Southern
2024-07-14,2024,28,MOZ,Mozambique,422,7070,11,2.61,Southern
2024-07-14,2024,28,MWI,Malawi,254,5830,4,1.57,Southern
2024-07-14,2024,28,TZA,Tanzania,54,5901,1,1.85,East
2024-07-14,2024,28,KEN,Kenya,241,6150,3,1.24,East
2024-07-14,2024,28,UGA,Uganda,203,6147,4,1.97,East
2024-07-14,2024,28,ETH,Ethiopia,177,5443,3,1.69,East
2024-07-14,2024,28,SOM,Somalia,283,5792,6,2.12,East
2024-07-21,2024,29,ZWE,Zimbabwe,172,6675,5,2.91,Southern
2024-07-21,2024,29,ZMB,Zambia,197,6244,4,2.03,Southern
2024-07-21,2024,29,MOZ,Mozambique,414,7484,10,2.42,Southern
2024-07-21,2024,29,MWI,Malawi,139,5969,4,2.88,Southern
2024-07-21,2024,29,TZA,Tanzania,223,6124,5,2.24,East
2024-07-21,2024,29,KEN,Kenya,137,6287,3,2.19,East
2024-07-21,2024,29,UGA,Uganda,240,6387,4,1.67,East
2024-07-21,2024,29,ETH,Ethiopia,134,5577,2,1.49,East
2024-07-21,2024,29,SOM,Somalia,221,6013,5,2.26,East
2024-07-28,2024,30,ZWE,Zimbabwe,81,6756,1,1.23,Southern
2024-07-28,2024,30,ZMB,Zambia,55,6299,1,1.82,Southern
2024-07-28,2024,30,MOZ,Mozambique,198,7682,3,1.52,Southern
2024-07-28,2024,30,MWI,Malawi,58,6027,1,1.72,Southern
2024-07-28,2024,30,TZA,Tanzania,118,6242,3,2.54,East
2024-07-28,2024,30,KEN,Kenya,120,6407,2,1.67,East
2024-07-28,2024,30,UGA,Uganda,60,6447,1,1.67,East
2024-07-28,2024,30,ETH,Ethiopia,168,5745,5,2.98,East
2024-07-28,2024,30,SOM,Somalia,175,6188,2,1.14,East
2024-08-04,2024,31,ZWE,Zimbabwe,320,7076,10,3.12,Southern
2024-08-04,2024,31,ZMB,Zambia,234,6533,7,2.99,Southern
2024-08-04,2024,31,MOZ,Mozambique,170,7852,4,2.35,Southern
2024-08-04,2024,31,MWI,Malawi,166,6193,3,1.81,Southern
2024-08-04,2024,31,TZA,Tanzania,127,6369,3,2.36,East
2024-08-04,2024,31,KEN,Kenya,197,6604,5,2.54,East
2024-08-04,2024,31,UGA,Uganda,238,6685,8,3.36,East
2024-08-04,2024,31,ETH,Ethiopia,166,5911,5,3.01,East
2024-08-04,2024,31,SOM,Somalia,135,6323,4,2.96,East
2024-08-11,2024,32,ZWE,Zimbabwe,194,7270,3,1.55,Southern
2024-08-11,2024,32,ZMB,Zambia,225,6758,3,1.33,Southern
2024-08-11,2024,32,MOZ,Mozambique,175,8027,5,2.86,Southern
2024-08-11,2024,32,MWI,Malawi,235,6428,6,2.55,Southern
2024-08-11,2024,32,TZA,Tanzania,238,6607,4,1.68,East
2024-08-11,2024,32,KEN,Kenya,102,6706,3,2.94,East
2024-08-11,2024,32,UGA,Uganda,160,6845,2,1.25,East
2024-08-11,2024,32,ETH,Ethiopia,46,5957,1,2.17,East
2024-08-11,2024,32,SOM,Somalia,180,6503,2,1.11,East
2024-08-18,2024,33,ZWE,Zimbabwe,181,7451,5,2.76,Southern
2024-08-18,2024,33,ZMB,Zambia,194,6952,3,1.55,Southern
2024-08-18,2024,33,MOZ,Mozambique,171,8198,3,1.75,Southern
2024-08-18,2024,33,MWI,Malawi,148,6576,3,2.03,Southern
2024-08-18,2024,33,TZA,Tanzania,91,6698,2,2.2,East
2024-08-18,2024,33,KEN,Kenya,155,6861,5,3.23,East
2024-08-18,2024,33,UGA,Uganda,213,7058,5,2.35,East
2024-08-18,2024,33,ETH,Ethiopia,68,6025,1,1.47,East
2024-08-18,2024,33,SOM,Somalia,166,6669,4,2.41,East
2024-08-25,2024,34,ZWE,Zimbabwe,121,7572,3,2.48,Southern
2024-08-25,2024,34,ZMB,Zambia,108,7060,2,1.85,Southern
2024-08-25,2024,34,MOZ,Mozambique,52,8250,0,0.0,Southern
2024-08-25,2024,34,MWI,Malawi,189,6765,3,1.59,Southern
2024-08-25,2024,34,TZA,Tanzania,225,6923,5,2.22,East
2024-08-25,2024,34,KEN,Kenya,82,6943,2,2.44,East
2024-08-25,2024,34,UGA,Uganda,193,7251,3,1.55,East
2024-08-25,2024,34,ETH,Ethiopia,119,6144,3,2.52,East
2024-08-25,2024,34,SOM,Somalia,139,6808,3,2.16,East
2024-09-01,2024,35,ZWE,Zimbabwe,179,7751,4,2.23,Southern
2024-09-01,2024,35,ZMB,Zambia,122,7182,2,1.64,Southern
2024-09-01,2024,35,MOZ,Mozambique,158,8408,3,1.9,Southern
2024-09-01,2024,35,MWI,Malawi,137,6902,4,2.92,Southern
2024-09-01,2024,35,TZA,Tanzania,167,7090,5,2.99,East
2024-09-01,2024,35,KEN,Kenya,82,7025,1,1.22,East
2024-09-01,2024,35,UGA,Uganda,97,7348,2,2.06,East
2024-09-01,2024,35,ETH,Ethiopia,189,6333,6,3.17,East
2024-09-01,2024,35,SOM,Somalia,160,6968,4,2.5,East
2024-09-08,2024,36,ZWE,Zimbabwe,50,7801,0,0.0,Southern
2024-09-08,2024,36,ZMB,Zambia,70,7252,1,1.43,Southern
2024-09-08,2024,36,MOZ,Mozambique,46,8454,0,0.0,Southern
2024-09-08,2024,36,MWI,Malawi,36,6938,0,0.0,Southern
2024-09-08,2024,36,TZA,Tanzania,122,7212,2,1.64,East
2024-09-08,2024,36,KEN,Kenya,193,7218,3,1.55,East
2024-09-08,2024,36,UGA,Uganda,44,7392,1,2.27,East
2024-09-08,2024,36,ETH,Ethiopia,47,6380,1,2.13,East
2024-09-08,2024,36,SOM,Somalia,185,7153,3,1.62,East
2024-09-15,2024,37,ZWE,Zimbabwe,119,7920,2,1.68,Southern
2024-09-15,2024,37,ZMB,Zambia,101,7353,2,1.98,Southern
2024-09-15,2024,37,MOZ,Mozambique,133,8587,2,1.5,Southern
2024-09-15,2024,37,MWI,Malawi,163,7101,3,1.84,Southern
2024-09-15,2024,37,TZA,Tanzania,107,7319,3,2.8,East
2024-09-15,2024,37,KEN,Kenya,173,7391,4,2.31,East
2024-09-15,2024,37,UGA,Uganda,172,7564,4,2.33,East
