check_id,check_date,check_type,severity,expected_value,actual_value,affected_report,status
QC0001,2024-12-15,CFR_CONSISTENCY,PASS,2.5,2.48,2024_wk50,PASS
QC0002,2024-12-15,CASE_TOTAL_RECONCILIATION,PASS,1500,1500,2024_wk50,PASS
QC0003,2024-12-15,DATA_COMPLETENESS,PASS,100,95,2024_wk50,PASS
QC0004,2024-12-22,CFR_CONSISTENCY,PASS,2.5,2.48,2024_wk51,PASS
QC0005,2024-12-22,CASE_TOTAL_RECONCILIATION,WARNING,1500,1485,2024_wk51,WARNING
QC0006,2024-12-22,DATA_COMPLETENESS,PASS,100,100,2024_wk51,PASS
QC0007,2024-12-29,CFR_CONSISTENCY,PASS,2.5,2.48,2024_wk52,PASS
QC0008,2024-12-29,CASE_TOTAL_RECONCILIATION,PASS,1500,1500,2024_wk52,PASS
QC0009,2024-12-29,DATA_COMPLETENESS,PASS,100,100,2024_wk52,PASS
QC0010,2024-12-08,CFR_CONSISTENCY,ERROR,2.5,5.2,2024_wk49,ERROR
